rowid,match_id,hunter,bounty,hunter_time,bounty_time,winner_is_hunter
126,13d705ba-240c-4577-a034-37b6e61bffb7,4540,5222,288,164,0
127,8fb4f4b6-b65a-4c8f-9480-df41f73d21c5,3518,7553,325,405,1
128,73e14a23-7a09-4f87-876e-25e9a761433a,8606,9637,272,255,0
129,c5d2f051-66f7-4859-950c-2e28d8b7717a,0339,4842,230,387,1
130,e1e8cb16-4b1c-4310-847e-2e393bb2f500,4789,5222,183,842,1
131,7bc6ceb0-0982-419f-8da2-0c664e79a6ad,3415,4282,138,913,1
132,7f636bd8-219c-4f28-8b0d-ba089b0ce6ab,3415,9090,108,547,1
133,679da6a6-0e44-4f10-ab10-8a94b0975d33,4789,5222,245,74,0
134,3ee5be57-fdad-4ec8-bb97-6331dc1857ba,0339,4302,650,437,0
135,50bd11fe-749f-4a24-b5c8-e3c87a9e2da8,3415,6040,231,352,1
136,7f3d8f0c-6410-49fd-814c-0fd29d7d0163,3518,6068,858,822,0
137,bb4d8c97-c9cd-4f3d-923d-be7a7a88216d,3415,5222,113,264,1
138,bdd96809-5014-4f1f-bead-734bb4db6e30,3518,1960,417,218,0
139,03895758-884d-40a2-844c-35aff1a51213,3415,1800,37,364,1
140,095e9cfd-df05-466e-91cb-c4c6e4dc1ddb,3518,5222,312,123,0
141,a99d69e7-0e43-44ee-8c10-4dc36c339234,3415,1239,55,1203,1
142,f021a672-8a3c-4138-9791-e323d48290f6,6832,6159,826,605,0
143,f0214a21-8a3c-4f0e-9791-54a9d4821ee3,3040,6068,666,452,0
144,9e5dbd01-e00b-41fe-8231-aa10b5ae564b,4789,9090,160,358,1
145,0b32d9c5-e578-4727-92b0-1606e31f3063,4789,5222,242,638,1
146,f7f6dab2-7a1a-496e-bcc4-cc29617ceb5e,2654,6159,452,396,0
147,c525c41d-8f2f-46f7-a14d-61eab10c5bda,3415,9549,97,541,1
148,a00bde20-387f-4e03-94b5-40e6bc0c0176,3518,7580,1027,243,0
149,f021b425-8a3c-4caa-9791-7022d482edee,3578,4665,865,349,0
150,f2912f70-0b6e-4ac8-aed3-9645c7497ce4,3671,9653,685,267,0
151,f021fcf7-8a3c-4409-9791-f6e0d4825965,4814,2640,848,89,0
152,17a59e86-29b6-4100-b72a-4facbbc602fd,4789,4842,207,233,1
153,2b4ad7b7-3685-4a01-82ed-5a6260e85421,3415,9937,107,404,1
